dias,data,trat,bloco,NO3,NH4,EPSA,Tsolo,N2O,l1,l2,l3,l4,
60,9,46%,3,1.614632355,189.9605433,50.87079262,23,6.0103,,,,,
60,9,75%,1,0.686493507,207.2062152,64.29933127,24,7.85045,,,,,
60,9,75%,2,0.930054302,147.2685023,62.35842693,23.3,-4.54408,,,,,
60,9,75%,3,0.96499851,200.8869963,62.24909012,22.6,-0.69698,,,,,
60,9,CE,1,0.510387,260.2028,37.49429,22.5,-46.3,,,,,
77,10,S,1,10.37717561,128.1727478,37.62238334,25.6,-1.120141667,,,,,
77,10,S,2,6.457749315,61.42353671,36.78666998,28.6,1.445725833,,,,,
77,10,S,3,4.801494223,73.64612304,39.50711746,29.3,25.15532083,,,,,
77,10,17%,1,4.595416027,54.55741828,44.0315383,23.6,9.177383,,,,,
77,10,17%,2,6.731024074,55.30241911,41.06646184,28,69.17308,,,,,
77,10,17%,3,16.34999613,73.2686227,41.35950127,28,35.78715,,,,,
77,10,46%,1,1.473608012,66.13822723,59.01156711,24,45.89158,,,,,
77,10,46%,2,4.326105358,94.3903078,59.63197386,24,25.32902,,,,,
77,10,46%,3,2.053953473,58.99194826,56.57692201,22.6,70.10717,,,,,
77,10,75%,1,1.696540936,73.83703563,70.17625308,24.6,26.99034,,,,,
77,10,75%,2,1.549406267,60.96318974,69.23964532,27,16.10523,,,,,
77,10,75%,3,4.140660531,57.0608921,58.71455888,22.6,44.19642,,,,,
77,10,CE,1,1.070522,100.889,35.59463,22.5,32.799,,,,,
88,11,S,1,1.975137434,205.125191,40.67404476,28.3,-1.586170833,,,,,
88,11,S,2,3.780194155,418.980431,34.39449495,24.3,2.24543625,,,,,
88,11,S,3,1.355604509,212.5405453,40.77131894,23.6,-1.564254167,,,,,
88,11,17%,1,0.420936404,194.8025711,42.81405416,23,-0.08266,,,,,
88,11,17%,2,4.895136196,199.6794042,45.05455228,25,-1.45619,,,,,
88,11,17%,3,2.591597099,222.1198003,43.09019101,24,4.115587,,,,,
88,11,46%,1,0.674447,218.4069241,59.41641621,24,1.73457,,,,,
88,11,46%,2,2.086702468,248.8269457,60.44629891,23.3,2.655844,,,,,
88,11,46%,3,2.594675403,232.6957496,59.12495538,25,0.589334,,,,,
88,11,75%,1,0.69382471,194.6405543,61.71317011,27,5.572838,,,,,
88,11,75%,2,1.408671987,288.6709951,69.07105585,28.3,1.33935,,,,,
88,11,75%,3,0.11292,194.0079251,62.7905566,24.6,2.768834,,,,,
88,11,CE,1,0.422974,376.7988,35.38697,26,3.0614,,,,,
108,12,S,1,4.068895169,38.12656646,84.27573836,22,1.720857639,,,,,
108,12,S,2,6.857954606,112.8092169,78.00769865,22,0.932037847,,,,,
108,12,S,3,11.70867627,100.9185986,73.52101183,22,0.693383681,,,,,
108,12,17%,1,1.310570931,37.08086176,72.12593407,22,5.165867,,,,,
108,12,17%,2,1.517614396,67.13520425,70.03915483,23.5,7.19295,,,,,
108,12,17%,3,1.185722266,33.61467301,74.18606913,23.2,9.560963,,,,,
108,12,46%,1,5.008820678,65.29417544,68.32393205,23.2,7.276029,,,,,
108,12,46%,2,0.788030073,38.20449509,71.9788073,23.2,7.561375,,,,,
108,12,46%,3,0.851601687,20.05281842,76.39985942,22.6,13.24032,,,,,
108,12,75%,1,2.509408708,31.01964007,74.77122421,22,5.072433,,,,,
108,12,75%,2,7.004196882,72.12323138,71.09484074,22.3,3.11188,,,,,
108,12,75%,3,2.971950096,132.9751914,70.33025493,22,4.324592,,,,,
108,12,CE,1,1.398391,4.826282,89.49594,22.3,16.8555,,,,,
